"Nama_Stasiun","Kota_Kab"
"Stasiun Jatinegara","Jakarta Timur"
"Stasiun Manggarai","Jakarta Selatan"
"Stasiun Sudirman","Jakarta Pusat"
"Stasiun Rajawali","Jakarta Utara"
"Stasiun Cawang","Jakarta Selatan"
"Stasiun Cakung","Jakarta Timur"
"Stasiun Buaran","Jakarta Timur"
"Stasiun Kampung Bandan","Jakarta Utara"
"Stasiun Tebet","Jakarta Selatan"
"Stasiun Kramat","Jakarta Pusat"
"Stasiun Gang Sentiong","Jakarta Pusat"
"Stasiun Angke","Jakarta Barat"
"Stasiun Pasar Minggu Baru","Jakarta Selatan"
"Stasiun Duren Kalibata","Jakarta Selatan"
"Stasiun Kebayoran","Jakarta Selatan"
"Stasiun Duri","Jakarta Barat"
"Stasiun Palmerah","Jakarta Barat"
"Stasiun Grogol","Jakarta Barat"
"Stasiun Rawa Buaya","Jakarta Barat"
"Stasiun Pesing","Jakarta Barat"
"Stasiun Universitas Pancasila","Jakarta Selatan"
"Stasiun Karet","Jakarta Pusat"
"Stasiun Bekasi","Bekasi"
"Stasiun Merak","Cilegon"
"Stasiun Krenceng","Cilegon"
"Stasiun Cilegon","Cilegon"
"Stasiun Pondok Ranji","Tangerang Selatan"
"Stasiun Jurangmangu","Tangerang Selatan"
"Stasiun Mampang","Jakarta Pusat"
"Stasiun Karang Tengah","Sukabumi"
"Stasiun Karawang","Karawang"
"Stasiun Maseng","Bogor"
"Stasiun Cikampek","Karawang"
"Stasiun Klari","Karawang"
"Stasiun Kedunggedeh","Bekasi"
"Stasiun Cikarang","Bekasi"
"Stasiun Cibitung","Bekasi"
"Stasiun Lemahabang","Bekasi"
"Stasiun Tambun","Bekasi"
"Stasiun Kosambi","Karawang"
"Stasiun Dawuan","Karawang"
"Stasiun Bojong Gede","Bogor"
"Stasiun Cikeusal","Serang"
"Stasiun Cisauk","Tangerang"
"Stasiun Catang","Serang"
